GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Überschreiten-Unfall;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;5786;5488;4924;5443;5178;4887;4852;4850;4810;4638;4475;4113;2962
Überschreiten-Unfall;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;12137;11508;10885;11410;11267;10958;10493;10625;10846;10486;10500;10139;7557
Überschreiten-Unfall;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;14104;13339;12600;13390;13060;12691;12310;12364;12470;12202;12225;11756;8793
Überschreiten-Unfall;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;18188;17257;16001;17104;16672;16069;15559;15668;15843;15294;15120;14413;10665
Überschreiten-Unfall;Insgesamt;Insgesamt;Verunglückte;Anzahl;20320;19237;17836;19228;18592;17940;17510;17554;17605;17127;16984;16139;11975
Unfall durch ruhenden Verkehr;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;18;13;26;11;22;10;15;14;19;10;18;17;16
Unfall durch ruhenden Verkehr;innerorts;Getötete;Verunglückte;Anzahl;18;13;26;11;23;10;16;14;20;10;20;17;16
Unfall durch ruhenden Verkehr;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;1145;1127;1007;1090;1150;1052;1184;1147;1109;1137;1089;1133;980
Unfall durch ruhenden Verkehr;innerorts;Schwerverletzte;Verunglückte;Anzahl;1177;1160;1035;1125;1196;1094;1224;1192;1153;1173;1129;1186;1010
Unfall durch ruhenden Verkehr;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;8318;7737;6931;7715;8009;7700;8303;7984;8272;8059;8397;8259;7448
Unfall durch ruhenden Verkehr;innerorts;Leichtverletzte;Verunglückte;Anzahl;9280;8691;7726;8633;8920;8611;9213;8891;9270;9032;9447;9299;8160
Unfall durch ruhenden Verkehr;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;9481;8877;7964;8816;9181;8762;9502;9145;9400;9206;9504;9409;8444
Unfall durch ruhenden Verkehr;innerorts;Insgesamt;Verunglückte;Anzahl;10475;9864;8787;9769;10139;9715;10453;10097;10443;10215;10596;10502;9186
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;2;5;5;5;3;2;5;2;2;2;1;6;2
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Getötete;Verunglückte;Anzahl;2;6;6;6;3;2;6;2;2;2;1;6;2
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Schwerverletzte;Unfälle mit Personenschaden;Anzahl;80;69;65;75;83;77;83;74;69;67;84;70;62
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Schwerverletzte;Verunglückte;Anzahl;91;77;75;84;92;94;97;82;79;76;97;79;76
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Leichtverletzte;Unfälle mit Personenschaden;Anzahl;264;273;226;247;240;223;258;261;292;266;270;256;253
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Leichtverletzte;Verunglückte;Anzahl;374;398;351;354;357;303;380;378;452;350;408;362;357
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Insgesamt;Unfälle mit Personenschaden;Anzahl;346;347;296;327;326;302;346;337;363;335;355;332;317
Unfall durch ruhenden Verkehr;außerorts (ohne Autobahnen);Insgesamt;Verunglückte;Anzahl;467;481;432;444;452;399;483;462;533;428;506;447;435
